run_id,start_utc,model,session_id,turns,commands_run,self_test_runs,test_failures,iterations_to_green,repair_cycles,did_reinstall,tok_input,tok_output,tok_cache_read,tok_cache_write,cost_usd,executor_wall_s,gate_ms,verdict,reason_codes,files_changed,changed_paths,unexpected_paths,scope_creep,lines_added,lines_removed,diff_sha12,claimed_success,task_ref,card_sha,policy_sha,base_commit,gate_version,executor_version,result_path
v2-20260903T191723Z,2026-09-03 19:17:23,claude-haiku-4-5-20251001,84a29b50-1f85-447f-90c0-eb5fa929ae1d,25,8,1,0,1,0,1,1621,6127,1001453,31326,0.1951,80,8508,NEEDS_HUMAN,"PATH_OUTSIDE_ALLOWED;PATH_REVIEW_REQUIRED",5,"CHANGELOG.md|README.md|setup.py|slugify/slugify.py|tox.ini","CHANGELOG.md",1,13,27,202117315a01,1,X1@v3,9f5ae3e41d4d,853db4b43f20,fbb0901f92b8,0.6.0,2.1.259,/Users/jjahanzad/Code/Career/blindspot-remediation/demo/runs/v2-20260903T191723Z-gate/result.json
v2-20260903T191853Z,2026-09-03 19:18:53,claude-haiku-4-5-20251001,640d82cb-92c3-4ee2-974f-a48fd4b0cbf6,21,6,1,0,1,0,1,1605,5861,892240,27527,0.1752,76,8307,PASS,"-",4,"README.md|setup.py|slugify/slugify.py|tox.ini","-",0,12,26,66755ad46871,1,X1@v3,9f5ae3e41d4d,853db4b43f20,fbb0901f92b8,0.6.0,2.1.259,/Users/jjahanzad/Code/Career/blindspot-remediation/demo/runs/v2-20260903T191853Z-gate/result.json
v2-20260903T192020Z,2026-09-03 19:20:20,claude-haiku-4-5-20251001,df48cf5e-d8a4-4ec4-bfb7-71f3c69d9612,17,6,1,0,1,0,1,1549,4228,572123,24631,0.1292,57,8504,FAIL,"ASSERTION_FAILED",3,"README.md|setup.py|slugify/slugify.py","-",0,5,15,e8550c36568d,1,X1@v3,9f5ae3e41d4d,853db4b43f20,fbb0901f92b8,0.6.0,2.1.259,/Users/jjahanzad/Code/Career/blindspot-remediation/demo/runs/v2-20260903T192020Z-gate/result.json
v2-20260903T192127Z,2026-09-03 19:21:27,claude-haiku-4-5-20251001,aed9fb48-89b4-490e-bb04-cde7361e237c,18,7,1,0,1,0,1,1581,4198,696626,23088,0.1384,58,8275,NEEDS_HUMAN,"ASSERTION_FAILED;PATH_OUTSIDE_ALLOWED;PATH_REVIEW_REQUIRED",4,"CHANGELOG.md|README.md|setup.py|slugify/slugify.py","CHANGELOG.md",1,6,12,70577d3a6ac7,1,X1@v3,9f5ae3e41d4d,853db4b43f20,fbb0901f92b8,0.6.0,2.1.259,/Users/jjahanzad/Code/Career/blindspot-remediation/demo/runs/v2-20260903T192127Z-gate/result.json
v2-20260903T192235Z,2026-09-03 19:22:35,claude-haiku-4-5-20251001,b2f86d75-0854-4ea5-a740-92b39e7bc78f,19,5,1,0,1,0,1,1581,5192,748271,25946,0.1543,68,9354,PASS,"-",4,"README.md|setup.py|slugify/slugify.py|tox.ini","-",0,12,26,090ddf56018f,1,X1@v3,9f5ae3e41d4d,853db4b43f20,fbb0901f92b8,0.6.0,2.1.259,/Users/jjahanzad/Code/Career/blindspot-remediation/demo/runs/v2-20260903T192235Z-gate/result.json
v2-20260903T192354Z,2026-09-03 19:23:54,claude-haiku-4-5-20251001,ca579634-098c-4540-82cd-74bafd6fe90b,22,5,1,0,1,0,1,1589,6151,784318,25820,0.1624,78,8534,PASS,"-",4,"README.md|setup.py|slugify/slugify.py|tox.ini","-",0,12,26,66755ad46871,1,X1@v3,9f5ae3e41d4d,853db4b43f20,fbb0901f92b8,0.6.0,2.1.259,/Users/jjahanzad/Code/Career/blindspot-remediation/demo/runs/v2-20260903T192354Z-gate/result.json
v2-20260903T192523Z,2026-09-03 19:25:23,claude-haiku-4-5-20251001,5b58db05-2b20-40e7-bf71-97d879e35e89,20,4,1,0,1,0,1,1565,5921,697969,28584,0.1581,75,9658,NEEDS_HUMAN,"PATH_OUTSIDE_ALLOWED;PATH_REVIEW_REQUIRED",5,"CHANGELOG.md|README.md|setup.py|slugify/slugify.py|tox.ini","CHANGELOG.md",1,12,27,503d0581b274,1,X1@v3,9f5ae3e41d4d,853db4b43f20,fbb0901f92b8,0.6.0,2.1.259,/Users/jjahanzad/Code/Career/blindspot-remediation/demo/runs/v2-20260903T192523Z-gate/result.json
v2-20260903T192649Z,2026-09-03 19:26:49,claude-haiku-4-5-20251001,71ea873f-4162-456b-9db7-ab7487794035,21,6,1,0,1,0,1,1605,5893,890036,28247,0.1766,78,9431,PASS,"-",4,"README.md|setup.py|slugify/slugify.py|tox.ini","-",0,12,26,66755ad46871,1,X1@v3,9f5ae3e41d4d,853db4b43f20,fbb0901f92b8,0.6.0,2.1.259,/Users/jjahanzad/Code/Career/blindspot-remediation/demo/runs/v2-20260903T192649Z-gate/result.json
v2-20260903T192820Z,2026-09-03 19:28:20,claude-haiku-4-5-20251001,f8746b36-371c-4cc2-adc8-2197d770b0d6,17,4,1,0,1,0,1,1565,4737,655600,26103,0.1430,61,11915,PASS,"-",4,"README.md|setup.py|slugify/slugify.py|tox.ini","-",0,11,26,2db19dce5635,1,X1@v3,9f5ae3e41d4d,853db4b43f20,fbb0901f92b8,0.6.0,2.1.259,/Users/jjahanzad/Code/Career/blindspot-remediation/demo/runs/v2-20260903T192820Z-gate/result.json
v2-20260903T192935Z,2026-09-03 19:29:35,claude-haiku-4-5-20251001,84ed1f1e-4d90-4673-bdae-a4f88534f2d8,22,6,1,0,1,0,1,1597,6018,826098,26202,0.1667,78,9657,PASS,"-",4,"README.md|setup.py|slugify/slugify.py|tox.ini","-",0,12,25,1af4286457ae,1,X1@v3,9f5ae3e41d4d,853db4b43f20,fbb0901f92b8,0.6.0,2.1.259,/Users/jjahanzad/Code/Career/blindspot-remediation/demo/runs/v2-20260903T192935Z-gate/result.json
v2-20260903T193105Z,2026-09-03 19:31:05,claude-haiku-4-5-20251001,8272d9ce-2dc1-4d95-9bb0-1425b574a237,19,5,1,0,1,0,1,1525,5575,439260,25085,0.1235,68,9368,PASS,"-",4,"README.md|setup.py|slugify/slugify.py|tox.ini","-",0,11,21,13e6df21de31,1,X1@v3,9f5ae3e41d4d,853db4b43f20,fbb0901f92b8,0.6.0,2.1.259,/Users/jjahanzad/Code/Career/blindspot-remediation/demo/runs/v2-20260903T193105Z-gate/result.json
v2-20260903T193224Z,2026-09-03 19:32:24,claude-haiku-4-5-20251001,7162c484-1f02-4073-ae11-cf811acf5794,20,6,1,0,1,0,1,1589,5162,754558,23858,0.1506,67,9192,PASS,"-",4,"README.md|setup.py|slugify/slugify.py|tox.ini","-",0,11,22,4793f6a99ea4,1,X1@v3,9f5ae3e41d4d,853db4b43f20,fbb0901f92b8,0.6.0,2.1.259,/Users/jjahanzad/Code/Career/blindspot-remediation/demo/runs/v2-20260903T193224Z-gate/result.json
v2-20260903T193342Z,2026-09-03 19:33:42,claude-haiku-4-5-20251001,2b46ca33-6f76-4222-ac08-017287dd467f,25,7,2,0,1,0,1,1637,6301,1056690,27940,0.1947,85,13686,PASS,"-",4,"README.md|setup.py|slugify/slugify.py|tox.ini","-",0,12,26,3fb64aed9658,1,X1@v3,9f5ae3e41d4d,853db4b43f20,fbb0901f92b8,0.6.0,2.1.259,/Users/jjahanzad/Code/Career/blindspot-remediation/demo/runs/v2-20260903T193342Z-gate/result.json
v2-20260903T193522Z,2026-09-03 19:35:22,claude-haiku-4-5-20251001,7fbd6182-784e-48e7-a56f-1619c50cb8fb,21,8,1,0,1,0,1,1597,4833,789287,23235,0.1512,66,11213,FAIL,"ASSERTION_FAILED",3,"README.md|setup.py|slugify/slugify.py","-",0,5,15,1e7f607d95a2,1,X1@v3,9f5ae3e41d4d,853db4b43f20,fbb0901f92b8,0.6.0,2.1.259,/Users/jjahanzad/Code/Career/blindspot-remediation/demo/runs/v2-20260903T193522Z-gate/result.json
v2-20260903T193642Z,2026-09-03 19:36:42,claude-haiku-4-5-20251001,3aa02570-04da-4bfd-b251-e6b64eb20493,23,6,1,0,1,0,1,1597,6727,856667,28712,0.1783,83,11492,NEEDS_HUMAN,"PATH_OUTSIDE_ALLOWED;PATH_REVIEW_REQUIRED",5,"CHANGELOG.md|README.md|setup.py|slugify/slugify.py|tox.ini","CHANGELOG.md",1,12,27,48b36b32f862,1,X1@v3,9f5ae3e41d4d,853db4b43f20,fbb0901f92b8,0.6.0,2.1.259,/Users/jjahanzad/Code/Career/blindspot-remediation/demo/runs/v2-20260903T193642Z-gate/result.json
v2-20260903T193819Z,2026-09-03 19:38:19,claude-haiku-4-5-20251001,33e5f6d8-302c-4030-bc6c-93172f0dd2ae,24,9,1,0,1,0,1,1629,5526,973435,24762,0.1761,76,11189,PASS,"-",4,"README.md|setup.py|slugify/slugify.py|tox.ini","-",0,12,22,00f0f471fad1,1,X1@v3,9f5ae3e41d4d,853db4b43f20,fbb0901f92b8,0.6.0,2.1.259,/Users/jjahanzad/Code/Career/blindspot-remediation/demo/runs/v2-20260903T193819Z-gate/result.json
v2-20260903T193948Z,2026-09-03 19:39:48,claude-haiku-4-5-20251001,51fb3118-5af2-405a-86f8-5815dab63460,20,5,1,0,1,0,1,1549,5474,563815,27628,0.1406,68,9828,PASS,"-",4,"README.md|setup.py|slugify/slugify.py|tox.ini","-",0,12,26,80092727df35,1,X1@v3,9f5ae3e41d4d,853db4b43f20,fbb0901f92b8,0.6.0,2.1.259,/Users/jjahanzad/Code/Career/blindspot-remediation/demo/runs/v2-20260903T193948Z-gate/result.json
v2-20260903T194108Z,2026-09-03 19:41:08,claude-haiku-4-5-20251001,12014b84-0c5e-4873-b042-39b3f1965394,24,6,1,0,1,0,1,1629,6783,987771,27188,0.1887,88,10820,NEEDS_HUMAN,"PATH_OUTSIDE_ALLOWED;PATH_REVIEW_REQUIRED",5,"CHANGELOG.md|README.md|setup.py|slugify/slugify.py|tox.ini","CHANGELOG.md",1,13,27,6ac7ef2ce0a1,1,X1@v3,9f5ae3e41d4d,853db4b43f20,fbb0901f92b8,0.6.0,2.1.259,/Users/jjahanzad/Code/Career/blindspot-remediation/demo/runs/v2-20260903T194108Z-gate/result.json
v2-20260903T194249Z,2026-09-03 19:42:49,claude-haiku-4-5-20251001,651ab92c-ffcf-44d3-a4f8-007563b33abb,25,10,2,0,1,0,1,1613,5734,980228,29289,0.1869,82,12331,PASS,"-",4,"README.md|setup.py|slugify/slugify.py|tox.ini","-",0,12,26,ddd320a3e38f,1,X1@v3,9f5ae3e41d4d,853db4b43f20,fbb0901f92b8,0.6.0,2.1.259,/Users/jjahanzad/Code/Career/blindspot-remediation/demo/runs/v2-20260903T194249Z-gate/result.json
v2-20260903T194426Z,2026-09-03 19:44:26,claude-haiku-4-5-20251001,5078678a-3cd4-4383-aa89-1f5a8d804057,18,4,1,0,1,0,1,1565,5317,659663,25888,0.1459,69,12360,PASS,"-",4,"README.md|setup.py|slugify/slugify.py|tox.ini","-",0,11,26,2db19dce5635,1,X1@v3,9f5ae3e41d4d,853db4b43f20,fbb0901f92b8,0.6.0,2.1.259,/Users/jjahanzad/Code/Career/blindspot-remediation/demo/runs/v2-20260903T194426Z-gate/result.json
v2-20260903T194551Z,2026-09-03 19:45:51,claude-haiku-4-5-20251001,f4a23b99-91df-4983-b606-d842e78a01d5,23,6,3,0,1,0,1,1605,6021,896037,29034,0.1794,77,9584,NEEDS_HUMAN,"PATH_OUTSIDE_ALLOWED;PATH_REVIEW_REQUIRED",5,"CHANGELOG.md|README.md|setup.py|slugify/slugify.py|tox.ini","CHANGELOG.md",1,13,27,3d70b7a0ce82,1,X1@v3,9f5ae3e41d4d,853db4b43f20,fbb0901f92b8,0.6.0,2.1.259,/Users/jjahanzad/Code/Career/blindspot-remediation/demo/runs/v2-20260903T194551Z-gate/result.json
